locus_tag	ftype	length_bp	gene	EC_number	COG	product
ATCC700743_01885	CDS	297	soxD_2	1.5.3.1		Sarcosine oxidase subunit delta
ATCC700743_01886	CDS	2994	soxA_2	1.5.3.1		Sarcosine oxidase subunit alpha
ATCC700743_01887	CDS	585	soxG	1.5.3.1		Sarcosine oxidase subunit gamma
ATCC700743_01888	CDS	231				hypothetical protein
ATCC700743_01889	CDS	786				hypothetical protein
ATCC700743_01890	CDS	1050	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
ATCC700743_01891	CDS	849	hcaB_2	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
ATCC700743_01892	CDS	924			COG3039	IS5 family transposase IS4811
ATCC700743_01893	CDS	249				hypothetical protein
ATCC700743_01894	CDS	645				hypothetical protein
ATCC700743_01895	CDS	777	ucpA_1	1.-.-.-		Oxidoreductase UcpA
ATCC700743_01896	CDS	1035		2.7.1.-	COG3173	Putative aminoglycoside phosphotransferase
ATCC700743_01897	CDS	528				hypothetical protein
ATCC700743_01898	CDS	816	rhlG_1	1.1.1.100		Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase
ATCC700743_01899	CDS	1242	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
ATCC700743_01900	CDS	1038				hypothetical protein
ATCC700743_01901	CDS	1185				hypothetical protein
ATCC700743_01902	CDS	999		2.4.-.-		Uncharacterized glycosyltransferase sll0501
ATCC700743_01903	CDS	819		3.5.1.-	COG3394	Carbohydrate deacetylase
ATCC700743_01904	CDS	411				hypothetical protein
ATCC700743_01905	CDS	3132	mdtB_2			Multidrug resistance protein MdtB
ATCC700743_01906	CDS	1161	mdtA_4			Multidrug resistance protein MdtA
ATCC700743_01907	CDS	828				hypothetical protein
ATCC700743_01908	CDS	819				hypothetical protein
ATCC700743_01909	CDS	1557				hypothetical protein
ATCC700743_01910	CDS	1371	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
ATCC700743_01911	CDS	1389	aldh	1.2.1.3		Aldehyde dehydrogenase
ATCC700743_01912	CDS	1173	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
ATCC700743_01913	CDS	1107				hypothetical protein
ATCC700743_01914	CDS	918				hypothetical protein
ATCC700743_01915	CDS	792				hypothetical protein
ATCC700743_01916	CDS	1065	malK_5	3.6.3.19	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
ATCC700743_01917	CDS	1554	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
ATCC700743_01918	CDS	909				hypothetical protein
ATCC700743_01919	CDS	846				hypothetical protein
ATCC700743_01920	CDS	1218	yjhB			Putative metabolite transport protein YjhB
ATCC700743_01921	CDS	318				hypothetical protein
ATCC700743_01922	CDS	1629	alkJ_2	1.1.99.-		Alcohol dehydrogenase [acceptor]
ATCC700743_01923	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
ATCC700743_01924	CDS	1503	livQ_1	1.1.3.-		6'''-hydroxyparomomycin C oxidase
ATCC700743_01925	CDS	1116	ugpC_9	3.6.3.20	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ATCC700743_01926	CDS	945	ycjP_3		COG0395	Inner membrane ABC transporter permease protein YcjP
ATCC700743_01927	CDS	951	lacF_5			Lactose transport system permease protein LacF
ATCC700743_01928	CDS	1254				Probable sugar-binding periplasmic protein
ATCC700743_01929	CDS	1512	betB_2	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
ATCC700743_01930	CDS	777	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
ATCC700743_01931	CDS	1602	carA_1	2.8.3.23	COG4670	Caffeate CoA-transferase
ATCC700743_01932	CDS	1017	afr_1	1.1.1.292		1,5-anhydro-D-fructose reductase
ATCC700743_01933	CDS	1059	malI		COG1609	Maltose regulon regulatory protein MalI
ATCC700743_01934	CDS	1155				hypothetical protein
ATCC700743_01935	tRNA	75				tRNA-Val(gac)
ATCC700743_01936	CDS	363	cpdR_2			Response regulator receiver protein CpdR
ATCC700743_01937	CDS	942				hypothetical protein
ATCC700743_01938	CDS	789	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
ATCC700743_01939	CDS	831				hypothetical protein
ATCC700743_01940	CDS	246				hypothetical protein
ATCC700743_01941	CDS	156				hypothetical protein
ATCC700743_01942	CDS	978	pldB	3.1.1.5	COG2267	Lysophospholipase L2
ATCC700743_01943	CDS	468	ibpA_2		COG0071	Small heat shock protein IbpA
ATCC700743_01944	CDS	1053	ltaE_1	4.1.2.48		Low specificity L-threonine aldolase
ATCC700743_01945	CDS	4746	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
ATCC700743_01946	CDS	1455	gltD_1	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
ATCC700743_01947	CDS	1230				hypothetical protein
ATCC700743_01948	CDS	1224				Tn3 family transposase TnXax1
ATCC700743_01949	CDS	906	gtaB_2	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
ATCC700743_01950	CDS	1728				hypothetical protein
ATCC700743_01951	CDS	1002	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
ATCC700743_01952	CDS	465	ybbJ		COG1585	Inner membrane protein YbbJ
ATCC700743_01953	CDS	951	qmcA		COG0330	Protein QmcA
ATCC700743_01954	CDS	1212	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
ATCC700743_01955	CDS	1065	hemH	4.99.1.1	COG0276	Ferrochelatase
ATCC700743_01956	CDS	2118				hypothetical protein
ATCC700743_01957	CDS	378				Outer membrane lipoprotein omp10
ATCC700743_01958	CDS	1446	hss	2.5.1.44		Homospermidine synthase
ATCC700743_01959	CDS	747	fabG_5	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ATCC700743_01960	CDS	879	dmlR_4			HTH-type transcriptional regulator DmlR
ATCC700743_01961	CDS	933				hypothetical protein
ATCC700743_01962	CDS	288				hypothetical protein
ATCC700743_01963	CDS	663				hypothetical protein
ATCC700743_01964	CDS	1146	menF_1	5.4.4.2		Isochorismate synthase MenF
ATCC700743_01965	CDS	768	rplU_2			50S ribosomal protein L21
ATCC700743_01966	CDS	1839				hypothetical protein
ATCC700743_01967	CDS	1578	atoC		COG2204	Regulatory protein AtoC
ATCC700743_01968	CDS	1911				hypothetical protein
ATCC700743_01969	CDS	177				hypothetical protein
ATCC700743_01970	CDS	894	rhaS_2			HTH-type transcriptional activator RhaS
ATCC700743_01971	CDS	750	fabG_6	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ATCC700743_01972	CDS	639	eda		COG0800	KHG/KDPG aldolase
ATCC700743_01973	CDS	930			COG1054	UPF0176 protein lpg2838
ATCC700743_01974	CDS	741				hypothetical protein
ATCC700743_01975	CDS	756	hcaB_3	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
ATCC700743_01976	CDS	375				hypothetical protein
ATCC700743_01977	CDS	1185		2.6.1.1		Aspartate aminotransferase
ATCC700743_01978	CDS	687				hypothetical protein
ATCC700743_01979	CDS	972	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
ATCC700743_01980	CDS	327				hypothetical protein
ATCC700743_01981	CDS	978	denD	1.1.1.410	COG0451	D-erythronate dehydrogenase
ATCC700743_01982	CDS	1224				hypothetical protein
ATCC700743_01983	CDS	669				hypothetical protein
ATCC700743_01984	CDS	900	dmlR_5			HTH-type transcriptional regulator DmlR
ATCC700743_01985	CDS	1197	cnbH_2	3.5.99.5		2-amino-5-chloromuconic acid deaminase
ATCC700743_01986	CDS	1134	ldc_1	4.1.1.17		Lysine/ornithine decarboxylase
ATCC700743_01987	CDS	570				hypothetical protein
ATCC700743_01988	CDS	285				hypothetical protein
ATCC700743_01989	CDS	537				hypothetical protein
ATCC700743_01990	CDS	426				hypothetical protein
ATCC700743_01991	CDS	534				hypothetical protein
ATCC700743_01992	CDS	1041				hypothetical protein
ATCC700743_01993	CDS	528				hypothetical protein
ATCC700743_01994	CDS	384				hypothetical protein
ATCC700743_01995	CDS	1740				hypothetical protein
ATCC700743_01996	CDS	402				hypothetical protein
ATCC700743_01997	CDS	2067				hypothetical protein
ATCC700743_01998	CDS	1233				hypothetical protein
ATCC700743_01999	CDS	1554				hypothetical protein
ATCC700743_02000	CDS	384				hypothetical protein
ATCC700743_02001	CDS	753				hypothetical protein
ATCC700743_02002	CDS	2088	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
ATCC700743_02003	CDS	300				hypothetical protein
ATCC700743_02004	CDS	480			COG1846	Uncharacterized HTH-type transcriptional regulator Rv2887
ATCC700743_02005	CDS	729				hypothetical protein
ATCC700743_02006	CDS	513				hypothetical protein
ATCC700743_02007	CDS	1782	clcB_1			Voltage-gated ClC-type chloride channel ClcB
ATCC700743_02008	CDS	660				hypothetical protein
ATCC700743_02009	CDS	1077				hypothetical protein
ATCC700743_02010	CDS	867	potH_1		COG1176	Putrescine transport system permease protein PotH
ATCC700743_02011	CDS	798	ydcV_5			Inner membrane ABC transporter permease protein YdcV
ATCC700743_02012	CDS	1116	potA_5	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
ATCC700743_02013	CDS	1386	puuB_3	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
ATCC700743_02014	CDS	357				hypothetical protein
ATCC700743_02015	CDS	1644	entS_2			Enterobactin exporter EntS
ATCC700743_02016	CDS	267				hypothetical protein
ATCC700743_02017	CDS	408				hypothetical protein
ATCC700743_02018	CDS	444	flbT			flagellum biosynthesis repressor protein FlbT
ATCC700743_02019	CDS	348				hypothetical protein
ATCC700743_02020	CDS	1044				hypothetical protein
ATCC700743_02021	CDS	1455				hypothetical protein
ATCC700743_02022	CDS	1257	flgE		COG1749	Flagellar hook protein FlgE
ATCC700743_02023	CDS	669	ftcR			Flagellar transcriptional regulator FtcR
ATCC700743_02024	CDS	444				hypothetical protein
ATCC700743_02025	CDS	1380				hypothetical protein
ATCC700743_02026	CDS	1374				hypothetical protein
ATCC700743_02027	CDS	1386				hypothetical protein
ATCC700743_02028	CDS	621				hypothetical protein
ATCC700743_02029	CDS	1650	fliF		COG1766	Flagellar M-ring protein
ATCC700743_02030	CDS	1071				hypothetical protein
ATCC700743_02031	CDS	993	fliC		COG1344	Flagellin
ATCC700743_02032	CDS	732	fliP		COG1338	Flagellar biosynthetic protein FliP
ATCC700743_02033	CDS	435				hypothetical protein
ATCC700743_02034	CDS	708	flgH			Flagellar L-ring protein
ATCC700743_02035	CDS	582				hypothetical protein
ATCC700743_02036	CDS	1242	flgI			Flagellar P-ring protein
ATCC700743_02037	CDS	525				hypothetical protein
ATCC700743_02038	CDS	789	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
ATCC700743_02039	CDS	324	fliE			Flagellar hook-basal body complex protein FliE
ATCC700743_02040	CDS	417	flgC		COG1558	Flagellar basal-body rod protein FlgC
ATCC700743_02041	CDS	381				hypothetical protein
ATCC700743_02042	CDS	834				hypothetical protein
ATCC700743_02043	CDS	1401	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
ATCC700743_02044	CDS	726	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
ATCC700743_02045	CDS	1122				hypothetical protein
ATCC700743_02046	CDS	876	motA		COG1291	Motility protein A
ATCC700743_02047	CDS	984				hypothetical protein
ATCC700743_02048	CDS	387	fliN		COG1886	Flagellar motor switch protein FliN
ATCC700743_02049	CDS	1011	fliG		COG1536	Flagellar motor switch protein FliG
ATCC700743_02050	CDS	1083	flhB		COG1377	Flagellar biosynthetic protein FlhB
ATCC700743_02051	CDS	435				hypothetical protein
ATCC700743_02052	CDS	771				hypothetical protein
ATCC700743_02053	CDS	711				hypothetical protein
ATCC700743_02054	CDS	1194				hypothetical protein
ATCC700743_02055	CDS	1032	aphA_1	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 1
ATCC700743_02056	CDS	654				hypothetical protein
ATCC700743_02057	CDS	1680	nfdA	3.5.1.91		N-substituted formamide deformylase
ATCC700743_02058	CDS	1095	potA_6	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
ATCC700743_02059	CDS	921	potB_3		COG1176	Spermidine/putrescine transport system permease protein PotB
ATCC700743_02060	CDS	801	ydcV_6			Inner membrane ABC transporter permease protein YdcV
ATCC700743_02061	CDS	1035	spuD_1			Putrescine-binding periplasmic protein SpuD
ATCC700743_02062	CDS	1197	nylB_1	3.5.1.46		6-aminohexanoate-dimer hydrolase
ATCC700743_02063	CDS	1182	nylB'	3.5.1.46		6-aminohexanoate-dimer hydrolase
ATCC700743_02064	CDS	2325	yhgF		COG2183	Protein YhgF
ATCC700743_02065	CDS	912	gcvA_4			Glycine cleavage system transcriptional activator
ATCC700743_02066	CDS	1197	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
ATCC700743_02067	CDS	3360				hypothetical protein
ATCC700743_02068	CDS	2412			COG2307	Uncharacterized protein Rv2567
ATCC700743_02069	CDS	885			COG1305	Uncharacterized protein Rv2569c
ATCC700743_02070	CDS	939				hypothetical protein
ATCC700743_02071	CDS	1092				hypothetical protein
ATCC700743_02072	CDS	375				hypothetical protein
ATCC700743_02073	CDS	1275				hypothetical protein
ATCC700743_02074	CDS	1515	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
ATCC700743_02075	CDS	888				hypothetical protein
ATCC700743_02076	CDS	282				hypothetical protein
ATCC700743_02077	CDS	3285	mdtC_2			Multidrug resistance protein MdtC
ATCC700743_02078	CDS	2517	mdtB_3			Multidrug resistance protein MdtB
ATCC700743_02079	CDS	1377	mdtA_5			Multidrug resistance protein MdtA
ATCC700743_02080	CDS	2679	nasA	1.7.99.4		Nitrate reductase
ATCC700743_02081	CDS	330	nasE	1.7.1.4	COG2146	Assimilatory nitrite reductase [NAD(P)H] small subunit
ATCC700743_02082	CDS	2451	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
ATCC700743_02083	CDS	798	cmpC	3.6.3.-		Bicarbonate transport ATP-binding protein CmpC
ATCC700743_02084	CDS	897	cmpB			Bicarbonate transport system permease protein CmpB
ATCC700743_02085	CDS	1080	nrtA_1			Nitrate transport protein NrtA
ATCC700743_02086	CDS	270				hypothetical protein
ATCC700743_02087	CDS	1239	nrtA_2		COG0715	Nitrate transport protein NrtA
ATCC700743_02088	CDS	603	pdtaR		COG3707	Probable transcriptional regulatory protein pdtaR
ATCC700743_02089	CDS	330				hypothetical protein
ATCC700743_02090	CDS	768				hypothetical protein
ATCC700743_02091	CDS	1464	ywiE	2.7.8.-	COG1502	Probable cardiolipin synthase YwiE
ATCC700743_02092	CDS	195				hypothetical protein
ATCC700743_02093	CDS	936	rhaS_3			HTH-type transcriptional activator RhaS
ATCC700743_02094	CDS	519	rhaS_4			HTH-type transcriptional activator RhaS
ATCC700743_02095	CDS	4875				hypothetical protein
ATCC700743_02096	CDS	561				hypothetical protein
ATCC700743_02097	CDS	648				hypothetical protein
ATCC700743_02098	CDS	462				hypothetical protein
ATCC700743_02099	CDS	537				hypothetical protein
ATCC700743_02100	CDS	192				hypothetical protein
ATCC700743_02101	CDS	528	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
ATCC700743_02102	CDS	465				hypothetical protein
ATCC700743_02103	CDS	420				hypothetical protein
ATCC700743_02104	CDS	120				hypothetical protein
ATCC700743_02105	CDS	189				hypothetical protein
ATCC700743_02106	CDS	516	blc		COG3040	Outer membrane lipoprotein Blc
ATCC700743_02107	CDS	114				hypothetical protein
ATCC700743_02108	CDS	222				hypothetical protein
ATCC700743_02109	CDS	252				hypothetical protein
ATCC700743_02110	CDS	165				hypothetical protein
ATCC700743_02111	CDS	138				hypothetical protein
ATCC700743_02112	CDS	174				hypothetical protein
ATCC700743_02113	CDS	276				hypothetical protein
ATCC700743_02114	CDS	111				hypothetical protein
ATCC700743_02115	CDS	306				hypothetical protein
ATCC700743_02116	CDS	303				hypothetical protein
ATCC700743_02117	CDS	840				hypothetical protein
ATCC700743_02118	CDS	858	ligD_2		COG1793	Multifunctional non-homologous end joining protein LigD
ATCC700743_02119	CDS	201				hypothetical protein
ATCC700743_02120	CDS	387				hypothetical protein
ATCC700743_02121	CDS	1209	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
ATCC700743_02122	CDS	672	glnM_2		COG0765	Probable glutamine ABC transporter permease protein GlnM
ATCC700743_02123	CDS	792	artJ_2		COG0834	ABC transporter arginine-binding protein 1
ATCC700743_02124	CDS	714	lutR_2		COG2186	HTH-type transcriptional regulator LutR
ATCC700743_02125	CDS	543	sigK_2			ECF RNA polymerase sigma factor SigK
ATCC700743_02126	CDS	870				hypothetical protein
ATCC700743_02127	CDS	327				hypothetical protein
ATCC700743_02128	CDS	3048	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
ATCC700743_02129	CDS	216				hypothetical protein
ATCC700743_02130	CDS	1659				hypothetical protein
ATCC700743_02131	CDS	96				hypothetical protein
ATCC700743_02132	CDS	378				hypothetical protein
ATCC700743_02133	tRNA	77				tRNA-Met(cat)
ATCC700743_02134	CDS	960	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
ATCC700743_02135	CDS	1191	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
ATCC700743_02136	CDS	276				hypothetical protein
ATCC700743_02137	CDS	927		1.3.1.103		2-haloacrylate reductase
ATCC700743_02138	CDS	399				hypothetical protein
ATCC700743_02139	CDS	378				hypothetical protein
ATCC700743_02140	CDS	696	ctrA			Cell cycle response regulator CtrA
ATCC700743_02141	CDS	369	spo0F	2.7.-.-	COG0784	Sporulation initiation phosphotransferase F
ATCC700743_02142	CDS	630	chpT	2.7.99.-		Protein phosphotransferase ChpT
ATCC700743_02143	CDS	609				hypothetical protein
ATCC700743_02144	CDS	1152				hypothetical protein
ATCC700743_02145	CDS	798	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
ATCC700743_02146	CDS	369	hlyU_1		COG0640	Transcriptional activator HlyU
ATCC700743_02147	CDS	780				hypothetical protein
ATCC700743_02148	CDS	762		1.-.-.-		Uncharacterized oxidoreductase Rv1144
ATCC700743_02149	CDS	525				hypothetical protein
ATCC700743_02150	CDS	984	pcpF	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase PcpF
ATCC700743_02151	CDS	495	rppH_2	3.6.1.-		RNA pyrophosphohydrolase
ATCC700743_02152	CDS	966	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
ATCC700743_02153	CDS	615				hypothetical protein
ATCC700743_02154	CDS	804	acoC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system
ATCC700743_02155	CDS	1776				hypothetical protein
ATCC700743_02156	CDS	1746	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
ATCC700743_02157	CDS	1167				hypothetical protein
ATCC700743_02158	CDS	777				hypothetical protein
ATCC700743_02159	CDS	168				hypothetical protein
ATCC700743_02160	CDS	150				hypothetical protein
ATCC700743_02161	CDS	1533	mdtL			Multidrug resistance protein MdtL
ATCC700743_02162	CDS	954	pgrR_3			HTH-type transcriptional regulator PgrR
ATCC700743_02163	CDS	1098				hypothetical protein
ATCC700743_02164	CDS	309				hypothetical protein
ATCC700743_02165	CDS	783	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ATCC700743_02166	CDS	438				hypothetical protein
ATCC700743_02167	CDS	1104				hypothetical protein
ATCC700743_02168	CDS	948	fieF_2		COG0053	Ferrous-iron efflux pump FieF
ATCC700743_02169	CDS	2190	menF_2	5.4.4.2		Isochorismate synthase MenF
ATCC700743_02170	CDS	771				Uncharacterized protein MT2054
ATCC700743_02171	CDS	1056				hypothetical protein
ATCC700743_02172	CDS	1176	ydhP_2		COG2814	Inner membrane transport protein YdhP
ATCC700743_02173	CDS	1377	rclA		COG1249	Probable pyridine nucleotide-disulfide oxidoreductase RclA
ATCC700743_02174	CDS	462				hypothetical protein
ATCC700743_02175	CDS	558	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
ATCC700743_02176	CDS	987	cdhR_5		COG4977	HTH-type transcriptional regulator CdhR
ATCC700743_02177	CDS	645	rutB_4	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
ATCC700743_02178	CDS	1680	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
ATCC700743_02179	CDS	1125				hypothetical protein
ATCC700743_02180	CDS	1308				hypothetical protein
ATCC700743_02181	CDS	1911				hypothetical protein
ATCC700743_02182	CDS	1146				hypothetical protein
ATCC700743_02183	CDS	1089				hypothetical protein
ATCC700743_02184	CDS	390			COG3474	Cytochrome c-554
ATCC700743_02185	CDS	858	argP			HTH-type transcriptional regulator ArgP
ATCC700743_02186	CDS	897				hypothetical protein
ATCC700743_02187	CDS	612	tdk	2.7.1.21		Thymidine kinase
ATCC700743_02188	CDS	936				hypothetical protein
ATCC700743_02189	CDS	855	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
ATCC700743_02190	CDS	1182	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
ATCC700743_02191	CDS	1410	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
ATCC700743_02192	CDS	717	ompR_3			Transcriptional regulatory protein OmpR
ATCC700743_02193	CDS	300				hypothetical protein
ATCC700743_02194	CDS	255				hypothetical protein
ATCC700743_02195	CDS	315				hypothetical protein
ATCC700743_02196	CDS	306	clpS2		COG2127	ATP-dependent Clp protease adapter protein ClpS 2
ATCC700743_02197	CDS	2079				hypothetical protein
ATCC700743_02198	CDS	2820				hypothetical protein
ATCC700743_02199	CDS	978				hypothetical protein
ATCC700743_02200	CDS	1005				hypothetical protein
ATCC700743_02201	CDS	630				hypothetical protein
ATCC700743_02202	CDS	633	nudL	3.6.1.-		Uncharacterized Nudix hydrolase NudL
ATCC700743_02203	CDS	1263	cca	2.7.7.72		CCA-adding enzyme
ATCC700743_02204	CDS	981				hypothetical protein
ATCC700743_02205	CDS	579				hypothetical protein
ATCC700743_02206	CDS	186				hypothetical protein
ATCC700743_02207	CDS	915	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
ATCC700743_02208	CDS	183				hypothetical protein
ATCC700743_02209	CDS	210				hypothetical protein
ATCC700743_02210	CDS	444	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
ATCC700743_02211	CDS	459	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
ATCC700743_02212	CDS	396				hypothetical protein
ATCC700743_02213	CDS	1887		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
ATCC700743_02214	CDS	1881		3.6.3.-		Putative multidrug export ATP-binding/permease protein SA1683
ATCC700743_02215	CDS	468				hypothetical protein
ATCC700743_02216	CDS	312				hypothetical protein
ATCC700743_02217	CDS	885		3.3.2.10		Soluble epoxide hydrolase
ATCC700743_02218	CDS	345				hypothetical protein
ATCC700743_02219	CDS	561	petA	1.10.2.2	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
ATCC700743_02220	CDS	1302	fbcH_1		COG1290	Cytochrome b/c1
ATCC700743_02221	CDS	858	fbcH_2		COG1290	Cytochrome b/c1
ATCC700743_02222	CDS	696	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
ATCC700743_02223	CDS	1149	lldD_1	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
ATCC700743_02224	CDS	546	apt	2.4.2.7		Adenine phosphoribosyltransferase
ATCC700743_02225	CDS	474				hypothetical protein
ATCC700743_02226	CDS	471				hypothetical protein
ATCC700743_02227	CDS	975	corA_2		COG0598	Magnesium transport protein CorA
ATCC700743_02228	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
ATCC700743_02229	CDS	723	pth	3.1.1.29		Peptidyl-tRNA hydrolase
ATCC700743_02230	CDS	642	rplY		COG1825	50S ribosomal protein L25
ATCC700743_02231	CDS	912				hypothetical protein
ATCC700743_02232	CDS	429	ohrR			Organic hydroperoxide resistance transcriptional regulator
ATCC700743_02233	CDS	858	cpo_1	1.11.1.10		Non-heme chloroperoxidase
ATCC700743_02234	CDS	378				hypothetical protein
ATCC700743_02235	CDS	1230	fsr			Fosmidomycin resistance protein
ATCC700743_02236	CDS	879				hypothetical protein
ATCC700743_02237	CDS	978				UPF0065 protein in clcB-clcD intergenic region
ATCC700743_02238	CDS	936	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
ATCC700743_02239	CDS	615				hypothetical protein
ATCC700743_02240	CDS	1152	doeA_1	3.5.4.44	COG0006	Ectoine hydrolase
ATCC700743_02241	CDS	795	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
ATCC700743_02242	CDS	1089				hypothetical protein
ATCC700743_02243	CDS	861	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
ATCC700743_02244	CDS	234				hypothetical protein
ATCC700743_02245	CDS	261				hypothetical protein
ATCC700743_02246	CDS	303				hypothetical protein
ATCC700743_02247	CDS	501				hypothetical protein
ATCC700743_02248	CDS	360	csaA		COG0073	Probable chaperone CsaA
ATCC700743_02249	CDS	1023	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
ATCC700743_02250	CDS	1416	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
ATCC700743_02251	CDS	720	ompR_4			Transcriptional regulatory protein OmpR
ATCC700743_02252	CDS	489				hypothetical protein
ATCC700743_02253	CDS	894	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
ATCC700743_02254	CDS	312				hypothetical protein
ATCC700743_02255	CDS	639	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
ATCC700743_02256	CDS	444				hypothetical protein
ATCC700743_02257	CDS	213	cspA_1		COG1278	Cold shock protein CspA
ATCC700743_02258	CDS	213	cspA_2		COG1278	Cold shock protein CspA
ATCC700743_02259	CDS	525				hypothetical protein
ATCC700743_02260	CDS	1563	pdeB_2	3.1.4.52	COG4943	Probable cyclic di-GMP phosphodiesterase PdeB
ATCC700743_02261	CDS	219				hypothetical protein
ATCC700743_02262	CDS	138				hypothetical protein
ATCC700743_02263	CDS	267				hypothetical protein
ATCC700743_02264	CDS	270				hypothetical protein
ATCC700743_02265	CDS	207	cspA_3		COG1278	Cold shock protein CspA
ATCC700743_02266	CDS	225				hypothetical protein
ATCC700743_02267	CDS	1635	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
ATCC700743_02268	CDS	354	ybaA		COG5507	Uncharacterized protein YbaA
ATCC700743_02269	CDS	423			COG2764	Uncharacterized protein Rv0887c
ATCC700743_02270	CDS	99				hypothetical protein
ATCC700743_02271	CDS	186				hypothetical protein
ATCC700743_02272	CDS	300	ybaQ		COG3093	Uncharacterized HTH-type transcriptional regulator YbaQ
ATCC700743_02273	CDS	177	higB-1_1		COG3549	Toxin HigB-1
ATCC700743_02274	CDS	1416	yheS_1		COG0488	Uncharacterized ABC transporter ATP-binding protein YheS
ATCC700743_02275	CDS	906				hypothetical protein
ATCC700743_02276	CDS	3159	uvrB			UvrABC system protein B
ATCC700743_02277	CDS	1629				hypothetical protein
